,0
0,네 멋대로 해라. 이미 침몰하고 있다
1,"둘이 키워도 힘들다. 온 가족이 키워도 쉽지 않은게 사실이다. 그런데 도대체 혼자서 돈벌고 애키우면서 어떻게 감당하려고 그러나. 출산율이 낮다는것만 보이고 키우고 살기 어려운건 보이지 않은건가. 키우기 쉽게, 미래를 예측하고 대비할 수 있게 해놓으면 낳지 말라고해도 낳고 키운다. 한치 앞도 모르는 불안한 사회에서 어떻게 애를 낳나, 그것도 혼자서. 사유리씨는 대단한 거고 훌륭한 결심을 했지만 그게 보편화되길 기대할 순 없다고 본다."
2,"결혼 안 하고 동거만 하는데 동거를 법적 가족으로 만들면 사람들이 동거도 기피하지. 누가 혼인신고서 한 장 작성하기 싫어서 결혼 안 하나? 여자도, 아이도 책임질 자신이 없으니 포기하는거지"
3,한국이 종말이 온다면ㅋ 폐미들의 비이성 행동때문일것이다ㅋ
4,낙태는 처벌하면서 비혼 여성이 정자은행 이용해서 애 낳겠다고 하는걸 막는건 모순이지. 지금같은 저출산 시대에 자발적으로 애 낳겠다는걸 왜 못하게 하냐?
5,남편이 필요없는 여자들은 비혼모 추천
6,아빠가 없다? 그냥 애완견 키우는거랑 다를바 있을까요? 이기주의가 극단으로 가네요? 비혼 출산을 장려하는 끔찍한 시대가 왔으니...
7,"한애란씨! 당신이 비혼으로 낳은 아이라면 어떻겠습니까? 우리 어릴 때를 생각해 보세요. 엄마, 아빠 부모님 할머니 다 계셔도 사춘기때 방황하는 아이들 많습니다. 그런데 내 아버지가 누군지도 모른다면 사랑해서 낳은 사이의 아버지도 아닌...나는 무얼까? 생각이 안 들겠습니까? 만약 동성커플이 대리모를 통해 아이를 원해도 세계적인 추세라고 권장하렵니까? 본인은 싫은데 남은 하든 말든 신경 안씁니까? 아이의 입장과 그 아이의 인권도 생각해 보세요. 비혼출산은 결코 권장할 일이 아닙니다. 아이에게 아버지는 생명의 뿌리이고 영혼의 반쪽입니다"
8,언론사마다 비혼출산을 장려하는 사설 칼럼들을 돌아가면서 쓰는 거를 약속이나 한것 처럼 계속 나오네요!! 비혼출산으로 인한 아이들의 정체성과 아빠의 부재와 아이의 입장에 대한 자세한 내용은 해외에 없습니까!! 우리나라 생명윤리와 성윤리가 해체됩니다!! 생명윤리와 성윤리가 바로서야 가정이 살고 나라가 삽니다!! 며칠전에 배스트 댓글 중에 우수한 유전자를 가진 같은 정자로 자란 아이들이 만나 가정을 이룬다면 어떻게 될것인가 라는 댓글을 보았습니다! 모르고 만나도 문제이고 나중에라도 알게 되면 얼마나 충격일까요! 그들이 또한 사촌이라면?!
9,"필자님! 저는 입양부모인데요, 물론 여러 형태의 가정이 있지요. 한부모, 조손부모, 입양아 가정등...그리고 이 아이들 일반가정과 같이 번듯하게 자랍니다. 그러나 비혼출산은 전혀 다릅니다. 앞가정들과는 달리,엄마가 자발적으로 아빠존재를 거세시켜버린 것입니다. 즉 아이입장을 1도 고려하지 않은 것입니다. 그런데...님은 추세가 그러하니, 내가 하고싶은 것은 하되 절대약자인 아이 인권은 내 알바 아니라는 식은 철저히 이기적인 게 아닐까요!"
10,이제 여자들도 독립한만큼 데이트 비용이든뭐든 양심것 부담해라
11,"그냥 우리나라도 이민사회로 가는거. 매년 50만명씩 받아서 15년정도 뒤면 전국이 이태원같이 변할거라고 생각합니다. 안 그러면 경제, 사회보험이 망해서 사회가 붕괴하고 나라가 소멸되기 때문에 어쩔 수 없습니다. 뭐 국가에서 엉터리 출산정책 펼친것에 대한 업보죠 뭐."
12,결혼하지않은 가정은 집이 없이 길에서 삽니까?
13,"‘죽음의 미래’특집기사 잘 보고 있습니다. 많은 분들이 읽고 공감하며 존엄한돌봄, 마무리를 위한 준비를 시작하길 바랍니다."
14,우리는 모두 죽음을 향해서 걸어가고 있다. 어느누구도 죽음 앞에서 자유로울 수는 없다. 많은 사람들이 요양원이나 요양병원 등에 의지하며 살아가고 있는데 세상 끝나는 순간이라도 존엄하게 마치고 싶다.
15,기자가 윤석열한테 말하면 해결해 줄텐데
16,디폴트나 걱정해라 ㅉ
17,당연한 얘기
18,"너무 가슴 아픈 게, 교회 안에 스며든 인본주의 시대사상입니다! 낙태, 차별금지법, 비혼...이 모든 것의 중심은 철저히 ‘인본주의’입니다. 내가 신의 자리에 있는 것이죠.하나님께서 인간에게 부여하신 ‘도덕질서’에 대해 생각없이 거스르는 것에 앞장서는 사람들이 의외로 기독교인들이 있습니다. 즉 인본주의 사상과 싸우는 사람도 기독교인이지만, 인본주의를 흡수하여 반기독교사상을 주장하는 사람도 기독교인들이라는 게 슬픕니다. 하나님을 바로 아는지식이 이 땅을 뒤덮길 간절히 기도합니다!"
19,좋은 글 고맙습니다. 이제 확실히 알게됩니다. 성관계를 부부만의 거룩하고 깨끗한 연합으로 생각해야 하는데 어렸을 때부터 '~는 재밌거든.' 식의 놀이 중 하나로 각인시키니 이러한 혼란이 오는 것 아닐까요?
20,"‘배필’이라는 정체성은 그들이 에덴동산에서 쫓겨남과 무관하게 하나님으로부터 부여받은 위상이다.—아멘! 결혼의 정체성, 부부의 성 정체성을 분명하게 성경적으로 풀어주셔서 고맙습니다. 김지연 약사님...감사합니다!"
21,가정을 먼저 이루어 살아가는 우리들이 주님 안에서 사랑하고 용서하고 화합하는 복된 삶을 살아내어 청년들이 너도나도 결혼하고 싶어질 수 있길 소망합니다.
22,모두들 결혼해서 행복하게 살고싶지만 환경과 또 사회가 계속 안하는게 좋다고 부추기니.. 왜곡된 것들을 바로 잡는게 필요할듯
23,다음세대를 위해 귀한 성교육과 사역들을 감당하시는 대표님 감사합니다!! 앞으로 귀한 사역들을 감당할 다음세대와 일꾼들의 사역 현장에서 많이 세워지고 학생들이 젊은이들이 온전한 성가치관이 확립되기를 바랍니다! 생명윤리와 성윤리를 바로세우기 위한 대표님의 귀한 사역과 복음의 열매들이 많이 맺여지길 소망합니다!!
24,저도 제 안에 넘 충만한 비혼주의를 보았습니다;; 주님앞에 나가 회개하며 은혜를 구하겠습니다
25,비혼주의여도 다 연애는 합니다 그런거보면 주변에서 보고 자라오거나 또는 내가 어렸을때부터 보고 자라온 환경들 영향이 있기 때문에 안한다는 거에요 결국 상처죠 어떻게보면.. 이제라도 뭔지알고 서로가 행복하게 가정을 꾸리는 법을 배우는건 좋다고 생각합니다
26,성관계는 결혼해서 임신에 대해 생명에 대해 책임질 수 있을때 해야 한다. 명료하고 핵심적인 성경적 성교육입니다.
27,감사합니다!!!
28,좋아요 이제부터라도 교회에서라도 제대로 배워야지 어디서 배웁니까..
29,바른 기독교 생명교육이 절실한 때에 좋은 기사 감사드립니다더욱더 어릴 때 말씀 가운데 분별할 힘을 키우는게 중요함을 느낍니다~
30,늘 성경에 기초한 명확한 말씀 감사합니다
31,성이 아니라 결혼이 중요한 것!
32,크리스천이라면 다아는이야기지만 확실하게 기준을 제시해주셔서 감사합니다.
33,비혼주의의 본질은 이기주의 인것 같아요..가정을 이루고 아이를 낳아키우는 기쁨을 모든젊은이들이 빼앗기지 않았으면 좋겠어요..
